 TIME , SCORE , F1 , F2 , FORMANT_FOUND , Sequence 
 61.52899932861328 , 637.0 , 819.6 , 1856.6 , none , 0.0" 0.73" 0.95" 0.58" 0.03" 0.45" 0.85" 0.19" 0.09" 0.39" 0.82" 0.65" 0.05" -0.45" 0.39" 0.87"  
 115.54299926757812 , 486.0 , 823.2 , 2011.8 , F2 , 0.0" 0.73" 0.95" 0.58" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.87"  
 170.10899353027344 , 486.0 , 823.2 , 2011.8 , F2 , 0.0" 0.73" 0.95" 0.58" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.87"  
 224.49099731445312 , 486.0 , 823.2 , 2011.8 , F2 , 0.0" 0.73" 0.95" 0.58" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.87"  
 278.65301513671875 , 486.0 , 823.2 , 2011.8 , F2 , 0.0" 0.73" 0.95" 0.58" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.87"  
 332.61199951171875 , 418.0 , 816.4 , 2072.3 , F2 , 0.87" 0.18" 0.99" 0.77" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.84"  
 386.6059875488281 , 418.0 , 816.4 , 2072.3 , F2 , 0.87" 0.18" 0.99" 0.77" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.84"  
 440.5249938964844 , 418.0 , 816.4 , 2072.3 , F2 , 0.87" 0.18" 0.99" 0.77" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.84"  
 494.43499755859375 , 372.0 , 760.7 , 2062.5 , F2 , 0.87" 0.18" 0.99" 0.77" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.84"  
 548.6300048828125 , 372.0 , 760.7 , 2062.5 , F2 , 0.87" 0.18" 0.99" 0.77" 0.03" 0.45" 0.85" 0.22" 0.09" 0.39" 0.45" 0.65" 0.05" -0.45" 0.39" 0.84"  
