 TIME , SCORE , F1 , F2 , FORMANT_FOUND , Sequence 
 173.843994140625 , 835.0 , 574.6 , 2746.3 , none , 0.3" 0.08" 0.04" 0.05" 0.59" 0.92" -0.32" 0.38"  
 328.7650146484375 , 835.0 , 574.6 , 2746.3 , none , 0.3" 0.08" 0.04" 0.05" 0.59" 0.92" -0.32" 0.38"  
 449.2650146484375 , 835.0 , 0.0 , 0.0 , none , 0.3" 0.08" 0.04" 0.05" 0.59" 0.92" -0.32" 0.38"  
 603.9530029296875 , 835.0 , 0.0 , 0.0 , none , 0.3" 0.08" 0.04" 0.05" 0.59" 0.92" -0.32" 0.38"  
 741.625 , 835.0 , 0.0 , 0.0 , none , 0.3" 0.08" 0.04" 0.05" 0.59" 0.92" -0.32" 0.38"  
 897.218994140625 , 813.0 , 577.4 , 2721.7 , none , 0.3" 0.08" 0.04" 0.42" 0.59" 0.92" 0.42" 0.38"  
 1053.4840087890625 , 813.0 , 577.4 , 2721.7 , none , 0.3" 0.08" 0.04" 0.42" 0.59" 0.92" 0.42" 0.38"  
 1208.781005859375 , 813.0 , 577.4 , 2721.7 , none , 0.3" 0.08" 0.04" 0.42" 0.59" 0.92" 0.42" 0.38"  
 1349.25 , 772.0 , 450.4 , 1352.6 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 1506.06201171875 , 772.0 , 450.4 , 1352.6 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 1627.5 , 772.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 1748.68701171875 , 772.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 1853.1090087890625 , 772.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 1975.093994140625 , 772.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 2097.468994140625 , 772.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 2238.047119140625 , 772.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.1" 0.92" 0.42" 0.81"  
 2398.75 , 764.0 , 446.4 , 1356.1 , none , 0.52" 0.3" 0.38" 0.14" 0.05" 0.92" 0.42" 0.81"  
 2537.672119140625 , 764.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.38" 0.14" 0.05" 0.92" 0.42" 0.81"  
 2659.875 , 747.0 , 426.5 , 1353.9 , none , 0.52" 0.3" 0.85" 0.34" 0.1" 0.92" 0.42" 0.81"  
 2782.031005859375 , 747.0 , 0.0 , 0.0 , none , 0.52" 0.3" 0.85" 0.34" 0.1" 0.92" 0.42" 0.81"  
 2922.514892578125 , 737.0 , 419.3 , 1356.1 , none , 0.52" 0.3" 0.85" 0.14" 0.1" 0.92" 0.42" 0.81"  
 3081.031005859375 , 736.0 , 419.0 , 1357.9 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.92" 0.44" 0.81"  
 3240.375 , 736.0 , 419.0 , 1357.9 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.92" 0.44" 0.81"  
 3400.281005859375 , 734.0 , 452.3 , 1392.3 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.64" 0.44" 0.1"  
 3561.406005859375 , 734.0 , 452.3 , 1392.3 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.64" 0.44" 0.1"  
 3719.81201171875 , 734.0 , 452.3 , 1392.3 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.64" 0.44" 0.1"  
 3877.077880859375 , 734.0 , 452.1 , 1392.6 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.92" 0.44" 0.1"  
 4035.06201171875 , 734.0 , 452.3 , 1392.2 , none , 0.52" 0.3" 0.85" 0.14" 0.05" 0.64" 0.44" 0.1"  
 4176.18701171875 , 666.0 , 489.6 , 1497.4 , none , 0.52" 0.3" 0.85" 0.23" 0.01" 0.92" 0.46" 0.1"  
